task_id,run_no,variant,model,reasoning_effort,verbosity,role_effective,http,latency_ms,visible_output_chars,api_output_tokens,api_input_tokens,hit_output_cap_1100,retrieved_chunks,retrieved_unique_documents,selected_context_chunks,unique_selected_sources,source_packages,model_cited_sources,displayed_source_ids_unique,displayed_sources_array_len,displayed_unique_titles,filtered_out_sources,planner_mode,risk,retrievers,graph_channel,package_aware,error
T4,2,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,17947,2127,1100,4163,JAH,56,10,4,4,0,0,0,0,0,4,default,low,dense|title_match|bm25,jah,false,
T3,2,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,7333,751,1100,1716,JAH,0,0,0,0,0,0,0,0,0,0,default,low,,ei,false,
T2,2,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,12590,2294,1040,4517,ei,56,12,4,4,0,0,0,0,0,4,default,high,dense|title_match|bm25,jah,false,
T1,2,B,gpt-5.6-luna,medium,low,SOCIAL_WORKER,200,9653,1544,921,11112,ei,100,81,41,38,20,6,6,9,4,32,municipality_service_benefit_list,high,dense|title_match|bm25|exact_phrase,jah,true,
T8,2,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,11232,2002,732,4166,ei,56,9,4,4,0,4,4,4,4,0,default,low,dense|bm25,jah,false,
T7,2,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,13786,2987,1100,4347,JAH,51,5,4,4,0,0,0,0,0,4,national_service_benefit,high,dense|exact_phrase|bm25|title_match,jah,false,
T5,2,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,14971,2872,1100,4162,JAH,41,20,4,4,0,2,2,2,2,2,default,low,dense|bm25,jah,false,
T6,2,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,37274,2570,1100,4234,JAH,34,27,4,4,0,2,2,2,2,2,life_situation_guidance,low,dense|title_match|bm25,jah,false,
T4,2,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,14241,2475,1100,4163,JAH,56,10,4,4,0,0,0,0,0,4,default,low,dense|title_match|bm25,jah,false,
T3,2,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,7405,1987,1100,1716,JAH,0,0,0,0,0,0,0,0,0,0,default,low,,ei,false,
T2,2,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,13306,2989,1100,4515,JAH,56,12,4,4,0,0,0,0,0,4,default,high,dense|title_match|bm25,jah,false,
T1,2,A,gpt-5.6-luna,medium,medium,SOCIAL_WORKER,200,10325,2381,1011,11112,ei,100,81,41,38,20,6,6,9,4,32,municipality_service_benefit_list,high,dense|title_match|bm25|exact_phrase,jah,true,
