title,collection_id,source_type,chunks,year,authority,url,docId
Abivajadusest sõltuva toetuse taotlus,kov_services,TEXT,2,,,https://www.rakverevald.ee/blanketid,kov::rakvere-vald::item::rakvere_vald_form_abivajadusest_soltuv_toetus
Abivajadusest tingitud lapsehoiuteenus,kov_services,TEXT,2,,,https://viljandivald.ee/toiming/abivajadusest-tingitud-lapsehoiuteenus,kov::viljandi-vald::item::viljandi_vald_service_abivajadusest_tingitud_lapsehoiuteenus
Abivajav ja hädaohus laps,kov_services,TEXT,2,,,https://kadrina.ee/perekond-ja-sotsiaalne-heaolu/laste-ja-perede-heaolu/abivajav-ja-hadaohus-laps/,kov::kadrina-vald::item::kadrina_vald_resource_abivajav_ja_hadaohus_laps
Abivajav ja hädaohus laps,kov_services,TEXT,1,,,https://kanepi.ee/pere-sotsiaal-ja-tervishoid/laste-ja-perede-heaolu/lastekaitse-kanepi-vallas,kov::kanepi-vald::item::kanepi_vald_resource_abivajav_laps
Abivajav ja hädaohus olev laps,kov_services,TEXT,2,,,https://viljandivald.ee/pere-sotsiaal-ja-tervishoid/laste-ja-perede-heaolu/abivajav-ja-hadaohus-olev-laps,kov::viljandi-vald::item::viljandi_vald_service_abivajav_ja_hadaohus_laps
Abivajav laps,kov_services,TEXT,1,,,https://rae.ee/pere-sotsiaal-ja-tervis/laste-ja-perede-heaolu/hadaohus-ja-abivajav-laps,kov::rae-vald::item::rae_vald_resource_abivajav_laps
Abivajav laps,kov_services,TEXT,1,,,https://saarde.ee/pere-sotsiaal-tervishoid/laps-ja-pere/abivajav-laps,kov::saarde-vald::item::saarde_vald_resource_abivajav_laps
Abivajav laps,kov_services,TEXT,2,,,https://vinnivald.ee/pere-sotsiaal-ja-tervishoid/abi/abivajav-laps/,kov::vinni-vald::item::vinni_vald_resource_abivajav_laps
Abivajav laps – info ja kontakt,kov_services,TEXT,1,,,https://www.kastre.ee/pere-sotsiaal-ja-tervishoid/abivajav-laps/,kov::kastre-vald::item::kastre_vald_resource_abivajav_laps_info
Abivajav laps – teavitamine ja abi,kov_services,TEXT,2,,,https://viljandi.ee/pere-sotsiaal-ja-tervishoid/teenused-ja-toetused/abi-lapsele-ja-perele/,kov::viljandi-linn::item::viljandi_linn_service_abivajav_laps
Abivajav laps ja hädaohus laps,kov_services,TEXT,1,,,https://narva-joesuu.ee/abivajav-laps,kov::narva-joesuu-linn::item::narva_joesuu_linn_resource_abivajav_laps
Abivajav laps ja lasteabi,kov_services,TEXT,1,,,https://www.pparnumaa.ee/pere-sotsiaal-ja-tervishoid/laps-ja-pere/abivajav-laps,kov::pohja-parnumaa-vald::item::pohja_parnumaa_vald_resource_abivajav_laps_ja_lasteabi
Abivajav laps ja lasteabi,kov_services,TEXT,1,,,https://www.poltsamaa.ee/abivajav-laps,kov::poltsamaa-vald::item::poltsamaa_vald_resource_abivajav_laps_ja_lasteabi
"Abivajav laps, lasteabi ja hädaabi",kov_services,TEXT,1,,,https://laaneharju.ee/pere-sotsiaal-ja-tervishoid/laps-ja-pere/lapse-ja-pere-heaolu,kov::laane-harju-vald::item::laane_harju_vald_resource_lasteabi_ja_abivajav_laps
Abivajav või hädaohus laps,kov_services,TEXT,1,,,https://www.tyri.ee/perekond-ja-sotsiaalabi/laste-ja-perede-heaolu/hadaohus-ja-abivajav-laps,kov::turi-vald::item::turi_vald_resource_abivajav_voi_hadaohus_laps
Abivajav või hädaohus olev laps,kov_services,TEXT,1,,,https://keila.ee/ametnikud/laste_heaolu/,kov::keila-linn::item::keila_linn_resource_abivajav_voi_hadaohus_laps
Abivajavast lapsest teatamine,kov_services,TEXT,1,,,https://www.viimsi.ee/tervishoid-ja-sotsiaalteenused/abivajav-laps-ja-pere/abivajav-laps,kov::viimsi-vald::item::viimsi_vald_resource_abivajav_laps_info
Abivajavast lapsest teatamine ja Lasteabi,kov_services,TEXT,1,,,https://www.laanerannavald.ee/lastekaitse,kov::laaneranna-vald::item::laaneranna_vald_resource_abivajavast_lapsest_teatamine
Abivajavast või hädaohus olevast lapsest teavitamine,kov_services,TEXT,1,,,https://kohila.ee/pere-sotsiaal-ja-tervishoid/laps-ja-pere/lastekaitse/,kov::kohila-vald::item::kohila_vald_resource_abivajav_voi_hadaohus_laps
Abja Haigla SA,kov_services,TEXT,1,,,https://mulgivald.ee/pere-sotsiaal-ja-tervishoid/tervishoiuasutused/hoolekandeasutused/,kov::mulgi-vald::item::mulgi_vald_resource_abja_haigla_sa
Abja Päevakeskus,kov_services,TEXT,1,,,https://mulgivald.ee/pere-sotsiaal-ja-tervishoid/tervishoiuasutused/abja-paevakeskus/,kov::mulgi-vald::item::mulgi_vald_resource_abja_paevakeskus
Abja saun,kov_services,TEXT,1,,,https://mulgivald.ee/pere-sotsiaal-ja-tervishoid/toetused-ja-teenused/avalikud-saunad/,kov::mulgi-vald::item::mulgi_vald_resource_abja_saun
AED kasutamise ja elustamise videod,kov_services,TEXT,1,,,https://www.narva.ee,kov::narva-linn::item::narva_linn_resource_aed_video
Aeg on rääkida professionaalsusest sotsiaaltöös,sotsiaaltoo_articles,FILE,13,2021,,,sotsiaaltoo-3-2021-aeg-on-raakida-professionaalsusest-sotsiaaltoos-2021-3
Aeg sisuliseks sotsiaaltööks,sotsiaaltoo_articles,FILE,4,2018,,,sotsiaaltoo-4-2018-aeg-sisuliseks-sotsiaaltooks-2018
Agu Eichenbaum,kov_services,TEXT,1,,,https://mulgivald.ee/vald-uudised-ja-kontakt/valla-info/kontakt/,kov::mulgi-vald::item::mulgi_vald_contact_agu_eichenbaum
Ahikütte toetus,kov_services,TEXT,2,,,https://www.johvi.ee/pere-sotsiaal-ja-tervishoid/teenused-ja-toetused/sotsiaaltoetused/,kov::johvi-vald::item::johvi_vald_benefit_ahikutte_toetus
Ahto Hein,kov_services,TEXT,1,,,https://haademeeste.ee/lahedase-surm,kov::haademeeste-vald::item::haademeeste_vald_contact_ahto_hein
Ahula Pansionaat,kov_services,TEXT,1,,,https://jarvavald.ee/pere-sotsiaal-ja-tervishoid/sotsiaaltoetused-ja-hoolekanne/hoolekandeasutused,kov::jarva-vald::item::jarva_vald_resource_ahula_pansionaat
Ahula Sotsiaalkeskus,kov_services,TEXT,1,,,https://jarvavald.ee/pere-sotsiaal-ja-tervishoid/sotsiaaltoetused-ja-hoolekanne/hoolekandeasutused,kov::jarva-vald::item::jarva_vald_resource_ahula_sotsiaalkeskus
Aide Kaio,kov_services,TEXT,1,,,https://mustveevald.kovtp.ee/ametnikud,kov::mustvee-vald::item::mustvee_vald_contact_aide_kaio
Aide Lember,kov_services,TEXT,1,,,https://raasiku.ee/vald-uudised-kontaktandmed/kontaktid-info/uldkontaktid-teenistujad,kov::raasiku-vald::item::raasiku_vald_contact_aide_lember
Aigi Puusepp,kov_services,TEXT,1,,,https://www.tartu.ee/et/hoolduskoordinaatorid,kov::tartu-linn::item::tartu_linn_contact_aigi_puusepp
Aigi Reinomägi,kov_services,TEXT,1,,,https://www.kuusalu.ee/medi-hairenuputeenus,kov::kuusalu-vald::item::kuusalu_vald_contact_aigi_reinomagi
Aila Rajasalu,kov_services,TEXT,1,,,https://valga.ee/vald-uudised-ja-kontakt/uudised-ja-kontakt/kontakt/,kov::valga-vald::item::valga_vald_contact_aila_rajasalu
Aime Meltsas,kov_services,TEXT,1,,,https://xn--jgeva-dua.ee/sotsiaal-ja-tervishoid/kontaktid/sotsiaalvaldkonna-kontaktid,kov::jogeva-vald::item::jogeva_vald_contact_aime_meltsas
Aime Pärn,kov_services,TEXT,1,,,https://www.kiilivald.ee/sotsiaal-ja-tervishoid/ametnikud,kov::kiili-vald::item::kiili_vald_contact_aime_parn
Ainika Zilinski,kov_services,TEXT,1,,,https://luunja.ee/vald-uudised-ja-kontakt/kontakt/kontaktid/,kov::luunja-vald::item::luunja_vald_contact_ainika_zilinski
Aino Kaurson,kov_services,TEXT,1,,,https://www.voruvald.ee/kontakt,kov::voru-vald::item::voru_vald_contact_aino_kaurson
Aino Rummel,kov_services,TEXT,1,,,https://muhu.ee/pere-sotsiaal-ja-tervishoid/hoolekandeasutused/muhu-hooldekeskus/,kov::muhu-vald::item::muhu_vald_contact_aino_rummel
Aire Kivi,kov_services,TEXT,1,,,https://haapsalu.ee/linn-uudised-ja-kontakt/kontakt/,kov::haapsalu-linn::item::haapsalu_linn_contact_aire_kivi
Airi Hõrrak,kov_services,TEXT,2,,,https://anija.ee/vald-uudised-ja-kontakt/valla-info/kontakt/,kov::anija-vald::item::anija_vald_contact_airi_horrak
Airi Peenoja,kov_services,TEXT,1,,,https://www.viimsi.ee/sotsiaal-ja-tervishoiuosakonna-kontaktid,kov::viimsi-vald::item::viimsi_vald_contact_airi_peenoja
Airi Öösalu,kov_services,TEXT,1,,,https://www.haljala.ee/kontakt,kov::haljala_vald::item::haljala_vald_contact_airi_oosalu
Airiin Aps,kov_services,TEXT,1,,,https://rakvere.ee/pere-sotsiaal-ja-tervishoid/laste-ja-perede-heaolu/asendus-ja-jarelhooldusteenus,kov::rakvere-linn::item::rakvere_linn_contact_airiin_aps
Airin Hermann,kov_services,TEXT,1,,,https://otepaa.ee/pere-sotsiaal-ja-tervishoid/abi-toimetulekuraskusega-inimesele/ametnikud,kov::otepaa-vald::item::otepaa_vald_contact_airin_hermann
Aisu Perearstikeskus OÜ,kov_services,TEXT,1,,,https://keila.ee/asutused/,kov::keila-linn::item::keila_linn_resource_aisu_perearstikeskus
Aita Murdsalu,kov_services,TEXT,1,,,https://www.alutagusevald.ee/pere-sotsiaal-ja-tervishoid/kontaktid/sotsiaalvaldkonna-kontaktid,kov::alutaguse-vald::item::alutaguse_vald_contact_aita_murdsalu
Aitamisele pühendatud elu,sotsiaaltoo_articles,FILE,20,2022,,,sotsiaaltoo-2-2022-aitamisele-puhendatud-elu-2022-2
Aive Sepp,kov_services,TEXT,1,,,https://kihnu.ee/pere-sotsiaal-tervishoid/laste-ja-perede-heaolu/lastekaitse/lapsele-abi/,kov::kihnu-vald::item::kihnu_vald_contact_aive_sepp
Ajakiri Sotsiaaltöö – Laur Raudsoo vaade ajakirja arengule,sotsiaaltoo_articles,FILE,10,2018,,,sotsiaaltoo-eri-2018-laur-raudsoo-ajakirja-juubel-2018
Ajakirja Sotsiaaltöö kroonika,sotsiaaltoo_articles,FILE,2,2018,,,sotsiaaltoo-eri-2018-ajakirja-sotsiaaltoo-kroonika-2018
Ajakirja Sotsiaaltöö olemus,sotsiaaltoo_articles,FILE,8,2018,,,sotsiaaltoo-eri-2018-ajakirja-sotsiaaltoo-olemus-osa1-2018
Ajakirja Sotsiaaltöö olemus (järg),sotsiaaltoo_articles,FILE,10,2018,,,sotsiaaltoo-eri-2018-ajakirja-sotsiaaltoo-olemus-jarg-2018
Ajutine hooldusteenus hoolekandeasutuses,kov_services,TEXT,2,,,https://www.tartu.ee/et/ToetusedTeenused,kov::tartu-linn::item::tartu_linn_service_ajutine_hooldusteenus_hoolekandeasutuses
"Aktuaalsed teemad Saksamaa sotsiaaltöö poliitikas, hariduses ja kutsetegevuses",sotsiaaltoo_articles,FILE,15,2017,,,sotsiaaltoo-4-2017-aktuaalsed-teemad-saksamaa-sotsiaaltoos-2017
"Aktuaalsed teemad Saksamaa sotsiaaltöö poliitikas, hariduses ja kutsetegevuses II",sotsiaaltoo_articles,FILE,13,2018,,,sotsiaaltoo-1-2018-saksa-sotsiaaltoo-aktuaalsed-teemad-ii-2018
Alaealise lapse perekonnas hooldamise toetus,kov_services,TEXT,1,,,https://paide.kovtp.ee/toetuste-liigid,kov::paide-linn::item::paide_linn_benefit_perekonnas_hooldamise_toetus
Aleftina Liski,kov_services,TEXT,1,,,https://vinnivald.ee/vald-uudised-ja-kontakt/valla-info/kontakt/,kov::vinni-vald::item::vinni_vald_contact_aleftina_liski
Aljona Kõpp,kov_services,TEXT,1,,,https://kohtla-jarve.ee/linn-uudised-ja-kontakt/uudised-ja-kontakt/kontakt/,kov::kohtla-jarve-linn::item::kohtla_jarve_linn_contact_aljona_kopp
Alkoholitarvitamise häire kabinet,kov_services,TEXT,1,,,https://viljandi.ee/pere-sotsiaal-ja-tervishoid/teenused-ja-toetused/abi-toimetulekuraskusega-inimesele/,kov::viljandi-linn::item::viljandi_linn_resource_alkoholitarvitamise_haire_kabinet
Alla Ojavere,kov_services,TEXT,1,,,https://narva-joesuu.ee/ametnikudsots,kov::narva-joesuu-linn::item::narva_joesuu_linn_contact_alla_ojavere
Alla Rutin,kov_services,TEXT,1,,,https://mustveevald.kovtp.ee/ametnikud,kov::mustvee-vald::item::mustvee_vald_contact_alla_rutin
Allakäigutrepist üles – ühisel nõul ja ühisel jõul,sotsiaaltoo_articles,FILE,12,2020,,,sotsiaaltoo-3-2020-allakaigutrepist-ules-uhisel-noul-ja-uhisel-joul-2020-3
Alliken Koršunov,kov_services,TEXT,1,,,https://www.kosevald.ee/noortegarantii-tugisusteem,kov::kose-vald::item::kose_vald_contact_alliken_korsunov
Alo Rebane,kov_services,TEXT,1,,,https://www.elva.ee/kontaktid,kov::elva-vald::item::elva_vald_contact_alo_rebane
Alu Sotsiaalmaja ja Alu Tugikeskus,kov_services,TEXT,1,,,https://rapla.ee/pere-sotsiaal-ja-tervishoid/asutused/hoolekandeasutused/,kov::rapla-vald::item::rapla_vald_resource_alu_sotsiaalmaja_ja_tugikeskus
Alushariduses makstava toiduraha toetus,kov_services,TEXT,2,,,https://mustveevald.kovtp.ee/blanketid-ja-vormid,kov::mustvee-vald::item::mustvee_vald_benefit_alushariduse_toiduraha_toetus
Alusharidusseadus toob muudatusi lastehoidudele ja lasteaedadele,sotsiaaltoo_articles,FILE,12,2024,,,sotsiaaltoo-2-2024-alusharidusseadus-toob-muudatusi-lastehoidudele-ja-lasteaedadele-2024-2
Alutaguse vald sotsiaalteenused ja toetused,kov_services,TEXT,37,,,https://www.alutagusevald.ee/abi-taotlemine,kov::alutaguse-vald::bundle
Alvi Karp,kov_services,TEXT,1,,,https://www.kuusalu.ee/sotsiaaltransporditeenus,kov::kuusalu-vald::item::kuusalu_vald_contact_alvi_karp
Ametikooli õpilase toetus,kov_services,TEXT,1,,,https://www.kuusalu.ee/sotsiaaltoetused,kov::kuusalu-vald::item::kuusalu_vald_benefit_ametikooli_opilase_toetus
Ametikooli õpilase toetuse avaldus,kov_services,TEXT,2,,,https://www.kuusalu.ee/taotluste-vormid1,kov::kuusalu-vald::item::kuusalu_vald_form_ametkooli_opilase_toetus
Anastassia Belova,kov_services,TEXT,1,,,https://narva-joesuu.ee/ohvriabi,kov::narva-joesuu-linn::item::narva_joesuu_linn_contact_anastassia_belova
Anastassia Seppa,kov_services,TEXT,1,,,https://www.pparnumaa.ee/pere-sotsiaal-ja-tervishoid/kontakt/teenistujad,kov::pohja-parnumaa-vald::item::pohja_parnumaa_vald_contact_anastassia_seppa
Andre Lepik,kov_services,TEXT,1,,,https://www.kastre.ee/vald-uudised-ja-kontakt/kontakt/,kov::kastre-vald::item::kastre_vald_contact_andre_lepik
Andrea Rebane,kov_services,TEXT,1,,,https://www.torivald.ee/pere-sotsiaal-ja-tervishoid/kontaktid,kov::tori-vald::item::tori_vald_contact_andrea_rebane
Andrei Kärsten,kov_services,TEXT,1,,,https://narva-joesuu.ee/ametnikudsots,kov::narva-joesuu-linn::item::narva_joesuu_linn_contact_andrei_karsten
Andrei Saitšuk,kov_services,TEXT,1,,,https://narva-joesuu.ee/njperemajad,kov::narva-joesuu-linn::item::narva_joesuu_linn_contact_andrei_saitsuk
Anett Parts,kov_services,TEXT,1,,,https://parnu.ee/perekond-sotsiaal-tervis/kontaktid/laste-ja-perede-heaolu-osakond,kov::parnu-linn::item::parnu_linn_contact_anett_parts
Anette Seiton,kov_services,TEXT,1,,,https://www.laanenigula.ee/pere-sotsiaal-ja-tervishoid/sotsiaalhoolekande-osakond/kontaktid,kov::laane-nigula-vald::item::laane_nigula_vald_contact_anette_seiton
Angela Järvpõld,kov_services,TEXT,1,,,https://www.voruvald.ee/kontakt,kov::voru-vald::item::voru_vald_contact_angela_jarvpold
Angela Mäeots / Saaremaa Toetava Hariduse Keskus,kov_services,TEXT,1,,,https://www.saaremaavald.ee/vaimne-tervis,kov::saaremaa-vald::item::saaremaa_vald_contact_vaimse_tervise_koordinaator
Angela Põder,kov_services,TEXT,1,,,https://kohila.ee/vald-uudised-ja-kontakt/valla-info/kontakt/,kov::kohila-vald::item::kohila_vald_contact_angela_poder
Anija vald sotsiaalteenused ja toetused,kov_services,TEXT,29,,,https://anija.ee/,kov::anija-vald::bundle
Ann Vahtramäe,kov_services,TEXT,1,,,https://www.kiilivald.ee/sotsiaal-ja-tervishoid/ametnikud,kov::kiili-vald::item::kiili_vald_contact_ann_vahtramae
Anna Karula,kov_services,TEXT,1,,,https://raasiku.ee/vald-uudised-kontaktandmed/kontaktid-info/uldkontaktid-teenistujad,kov::raasiku-vald::item::raasiku_vald_contact_anna_karula
Anna Maria Raukas,kov_services,TEXT,1,,,https://www.saaremaavald.ee/perekond-sotsiaalabi/laste-ja-perede-heaolu/asendus-ja-jarelhooldusteenus,kov::saaremaa-vald::item::saaremaa_vald_contact_anna_maria_raukas
Anna Nikulitševa,kov_services,TEXT,1,,,https://kohila.ee/pere-sotsiaal-ja-tervishoid/laps-ja-pere/lastekaitse/,kov::kohila-vald::item::kohila_vald_contact_anna_nikulitseva
Anna-Maria Kazakov,kov_services,TEXT,1,,,https://www.poltsamaa.ee/kontaktid,kov::poltsamaa-vald::item::poltsamaa_vald_contact_anna_maria_kazakov
Anne Aleksejev,kov_services,TEXT,2,,,https://tartuvald.ee/toiming/koolisoidutoetus,kov::tartu-vald::item::tartu_vald_contact_anne_aleksejev
Anne Daniel-Karlsen – pühendunud perevägivallas kannatanud laste aitamisele,sotsiaaltoo_articles,FILE,14,2018,,,sotsiaaltoo-1-2018-anne-daniel-karlsen-pyhendunud-perevagivallas-kannatanud-laste-aitamisele-2018
Anne Kalamäe,kov_services,TEXT,1,,,https://www.lyganuse.ee/ametnikud,kov::luganuse-vald::item::luganuse_vald_contact_anne_kalamae
Anne Kalme,kov_services,TEXT,1,,,https://valga.ee/vald-uudised-ja-kontakt/uudised-ja-kontakt/kontakt/,kov::valga-vald::item::valga_vald_contact_anne_kalme
Anne Klettenberg,kov_services,TEXT,1,,,https://loksalinn.ee/linn-uudised-ja-kontakt/kontakt-ja-teated/kontakt/,kov::loksa-linn::item::loksa_linn_contact_anne_klettenberg
Anne Põder,kov_services,TEXT,1,,,https://www.saaremaavald.ee/toiming/ranitsatoetuse-taotlemine,kov::saaremaa-vald::item::saaremaa_vald_contact_anne_poder
Anne Rannaveski-Poola,kov_services,TEXT,1,,,https://sakuvald.ee/vald-uudised-ja-kontakt/kontakt-uudised-ja-teated/kontakt/,kov::saku-vald::item::saku_vald_contact_anne_rannaveski_poola
Anne Rembel,kov_services,TEXT,1,,,https://www.lyganuse.ee/ametnikud,kov::luganuse-vald::item::luganuse_vald_contact_anne_rembel
Anne Terner-Boiko,kov_services,TEXT,1,,,https://v-maarja.ee/pere-sotsiaal-ja-tervishoid/kontaktid/sotsiaalosakonna-kontaktid,kov::vaike-maarja-vald::item::vaike_maarja_vald_contact_anne_terner_boiko
Anne-Ly Padrik,kov_services,TEXT,1,,,https://laaneharju.ee/kontakt,kov::laane-harju-vald::item::laane_harju_vald_contact_anne_ly_padrik
Anne-Ly Pedaja,kov_services,TEXT,1,,,https://rapla.ee/vald-uudised-ja-kontakt/valla-info/kontakt/,kov::rapla-vald::item::rapla_vald_contact_anne_ly_pedaja
